"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"13",4750.89629531034,4580.64798950339,4453.69984273152,4308.73373059161,4283.60118747145,4135.68270878589,3992.49564246634,3948.55583883588,3740.91104630301,3660.6439444725,3539.41684415156,3478.63273924819,0,378.168902786405,328.503381450994,469.83082230782,554.269361047251,573.565316735163,775.499541224139,903.419274571256,994.0012978589,1147.06591119384,1266.06342530323,1361.079526625
"14",4628.40315561651,4443.7374878679,4326.63845208755,4202.46849029462,4148.66316879988,4007.26868245793,3865.62794042639,3797.61361523524,3612.83680885901,3555.25916531358,3403.91460698421,3375.6106752819,378.168902786405,0,191.455938698681,519.084806937412,384.066771387549,514.995135101251,795.776540880122,796.129211474477,995.947249937032,1154.28898263189,1152.78747932527,1339.88587551479
"15",4815.14151933116,4631.9805978335,4513.80672415128,4386.96308377103,4336.62042496662,4194.47595541148,4052.60330935904,3986.93793569082,3799.83789769337,3739.29029923204,3591.63414631773,3559.17703944598,328.503381450994,191.455938698681,0,327.639187559395,246.621754795569,338.068373294431,610.565954434181,645.072756799596,816.594840225053,975.474479434584,1009.63879711511,1168.92646367022
"16",5136.35622081318,4955.38234125002,4835.68541842219,4704.99919189224,4659.64952962541,4516.4598818487,4374.28238343349,4311.91546520379,4121.60309524324,4056.85493964891,3914.44587542902,3876.14976121422,469.83082230782,519.084806937412,327.639187559395,0,284.2006222415,157.27715841262,309.266554305329,458.15696992504,527.188580499401,683.162588821992,808.474313823528,893.148370263584
"17",4991.04971125694,4801.37635705622,4688.12680467851,4570.85161078347,4507.5685192558,4368.82119880595,4227.98943906296,4150.84441658609,3975.29794980247,3924.90607397366,3764.22722860545,3746.23349676699,554.269361047251,384.066771387549,246.621754795569,284.2006222415,0,175.168524304854,455.025819910222,412.085370723563,631.582882644396,786.733459460574,771.22138263882,961.241107562176
"18",5141.66332415859,4955.06255363007,4839.47510212745,4717.14948383544,4660.48711822952,4520.09555508586,4378.72213207487,4306.7796763497,4125.93502563511,4070.09299091042,3916.19647912221,3890.53745930427,573.565316735163,514.995135101251,338.068373294431,157.27715841262,175.168524304854,0,286.614218668351,329.854186385755,480.99202043428,639.499189084527,693.618308904805,830.90136494408
"19",5424.17589988797,5239.06988974261,5122.39859578615,4997.30947429471,4944.18142561433,4803.02597558775,4661.40364386715,4591.75282740119,4408.61220839952,4349.74091810099,4199.55845643084,4169.69972450647,775.499541224139,795.776540880122,610.565954434181,309.266554305329,455.025819910222,286.614218668351,0,285.127890442201,218.537598365386,373.924010130921,553.726123766404,585.603622934427
"20",5381.57533924831,5187.23603019758,5077.75699219379,4967.14739623541,4894.89526104606,4758.77574072209,4618.8307994024,4533.23091601773,4366.47292220815,4322.80618182457,4153.65283334068,4145.16669717492,903.419274571256,796.129211474477,645.072756799596,458.15696992504,412.085370723563,329.854186385755,285.127890442201,0,306.412626629956,430.204744993715,365.923161513185,565.385305748518
"21",5620.63791448775,5432.29618991857,5318.07993359487,5197.57656027363,5138.20310047731,4998.72317783257,4857.60634216207,4782.29300652586,4604.84950158295,4550.7180728501,4394.42493029685,4371.2951386055,994.0012978589,995.947249937032,816.594840225053,527.188580499401,631.582882644396,480.99202043428,218.537598365386,306.412626629956,0,158.895933072577,401.874036059954,367.249055579703
"22",5777.34978223707,5588.10981392671,5474.59845502738,5355.23317542366,5294.26942115203,5155.26638361485,5014.29432552679,4937.3452555581,4761.56476195956,4708.55280057246,4550.78974162258,4529.26190483658,1147.06591119384,1154.28898263189,975.474479434584,683.162588821992,786.733459460574,639.499189084527,373.924010130921,430.204744993715,158.895933072577,0,384.277857387017,222.79617410843
"23",5691.70303634263,5491.30292458842,5387.00171931579,5285.94132277177,5201.28679066361,5068.8704057102,4930.3226979737,4833.8181243908,4678.78991105937,4644.71648504865,4463.98202099956,4468.85665427703,1266.06342530323,1152.78747932527,1009.63879711511,808.474313823528,771.22138263882,693.618308904805,553.726123766404,365.923161513185,401.874036059954,384.277857387017,0,346.844966730983
"24",5946.12566184387,5752.46054556593,5642.46981895219,5529.81668034674,5459.95485557989,5323.40602044763,5183.26232304378,5098.6101121203,4930.80599938158,4884.64572789224,4718.33808344445,4706.41403939071,1361.079526625,1339.88587551479,1168.92646367022,893.148370263584,961.241107562176,830.90136494408,585.603622934427,565.385305748518,367.249055579703,222.79617410843,346.844966730983,0
