"","Boma","BomaID","CarnPresent","CarnSpecies","Proximity","LivestockInjured","LivestockSpeciesInjured","LivestockNumberInjured","LivestockKilled","LivestockSpeciesKilled","LivestockNumberKilled","CarnAttack","Treatment"
"51","Lesangurikuri","Boma2","Yes","Spotted hyenae",100,"No",NA,0,"No",NA,0,0,"Crickets"
"52","Lekulal","Boma3","Yes","Spotted hyenae",1,"No",NA,0,"No",NA,0,0,"Crickets"
"53","Lenaiptari","Boma6","Yes","Leopard",10,"No",NA,0,"No",NA,0,0,"Crickets"
"54","Lenaiptari","Boma6","Yes","Leopard",15,"No",NA,0,"No",NA,0,0,"Crickets"
"55","Lewarani","Boma8","Yes","Spotted hyenae",10,"No",NA,0,"No",NA,0,0,"Crickets"
"56","Lenaino2","Boma10","Yes","Spotted hyenae",20,"No",NA,0,"No",NA,0,0,"Crickets"
"57","Lenaino2","Boma10","Yes","Spotted hyenae",20,"No",NA,0,"No",NA,0,0,"Crickets"
"58","Nakoyia Lesamaita","Boma11","Yes","Spotted hyenae",20,"No",NA,0,"No",NA,0,0,"Crickets"
"59","Nakoyia Lesamaita","Boma11","Yes","Spotted hyenae",15,"No",NA,0,"No",NA,0,0,"Crickets"
"60","Lesangurikuri2","Boma12","Yes","Spotted hyenae",40,"No",NA,0,"No",NA,0,0,"Crickets"
"61","Long'oria","Boma18","Yes","Leopard",200,"No",NA,0,"No",NA,0,0,"Humans"
"62","Susan","Boma20","Yes","Leopard",400,"No",NA,0,"No",NA,0,0,"Humans"
"63","Leruso lopiro","Boma1","Yes","Spotted hyenae",15,"No",NA,0,"No",NA,0,0,"Crickets"
